sample,,AMP,,AZI,,CEF,,FOX,,CAZ,,FUR,,CHL,,CIP,,COL,,GEN,,MERO,,NAL,,STR,,SMX,,SXT,,SUL,,TET,,TIG,,TRI
S01727-11,=,2,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.25,<=,1,<=,0.5,<=,0.03,>,128,=,8,=,32,<=,0.12,=,32,<=,4,=,0.5,<=,0.25
S02347-12,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.5,<=,1,<=,0.5,<=,0.03,>,128,=,16,>,1024,<=,0.12,=,64,<=,4,=,0.5,<=,0.25
S06636-12,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,=,32,<=,0.03,>,128,>,64,>,1024,<=,0.12,>,256,>,32,=,2,<=,0.25
S00478-13,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,<=,0.015,<=,1,=,8,<=,0.03,<=,4,>,64,>,1024,<=,0.12,>,256,>,32,<=,0.25,<=,0.25
S01870-13,>,64,=,8,<=,0.25,=,4,<=,0.5,=,2,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,>,64,>,1024,>,4,>,256,>,32,<=,0.25,>,32
S03120-13,<=,1,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,=,0.06,<=,4,=,16,=,32,<=,0.12,=,64,<=,4,<=,0.25,=,0.5
S03862-13,<=,1,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,32,<=,8,<=,0.12,<=,16,<=,4,=,0.5,<=,0.25
S01119-14,>,64,=,8,<=,0.25,=,4,<=,0.5,=,1,=,128,=,0.03,=,2,<=,0.5,<=,0.03,<=,4,=,32,>,1024,>,4,>,256,<=,4,=,0.5,>,32
S02289-14,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,>,64,>,1024,>,4,>,256,>,32,<=,0.25,>,32
S03086-14,>,64,=,4,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,>,64,>,1024,<=,0.12,>,256,>,32,<=,0.25,<=,0.25
S03195-14,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,32,>,1024,>,4,>,256,>,32,=,0.5,>,32
S05247-14,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,>,64,>,1024,=,0.5,>,256,>,32,<=,0.25,<=,0.25
S01145-94,<=,1,=,4,<=,0.25,=,2,<=,0.5,=,0.5,<=,8,<=,0.015,<=,1,<=,0.5,<=,0.03,<=,4,=,8,<=,8,<=,0.12,<=,16,<=,4,<=,0.25,<=,0.25
S06719-94,>,64,=,8,<=,0.25,=,2,<=,0.5,=,1,>,128,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,64,>,1024,=,0.25,>,256,>,32,<=,0.25,=,0.5
AC1,=,4,=,4,<=,0.25,=,2,<=,0.5,=,0.5,<=,8,<=,0.015,<=,1,<=,0.5,<=,0.03,<=,4,=,8,=,16,<=,0.12,=,256,<=,4,<=,0.25,=,0.5
AC2,=,4,=,4,<=,0.25,=,2,<=,0.5,=,0.5,<=,8,<=,0.015,<=,1,<=,0.5,<=,0.03,<=,4,=,8,=,32,<=,0.12,>,256,<=,4,<=,0.25,=,0.5
NC1,=,2,<=,2,<=,0.25,=,2,<=,0.5,=,0.25,<=,8,<=,0.015,<=,1,<=,0.5,<=,0.03,<=,4,=,4,<=,8,<=,0.12,<=,16,<=,4,<=,0.25,<=,0.25
NC2,=,2,=,4,<=,0.25,=,2,<=,0.5,=,0.5,<=,8,=,0.03,<=,1,<=,0.5,<=,0.03,<=,4,=,4,<=,8,<=,0.12,<=,16,<=,4,<=,0.25,<=,0.25
