"sample","amr","test","result"
"S04055-07","SXT","diskc","TN"
"S04066-03","AMP","diskc","TP"
"S04066-03","CHL","diskc","TN"
"S04066-03","GEN","diskc","TN"
"S04066-03","NAL","diskc","TN"
"S04066-03","SMX","diskc","TN"
"S04066-03","STR","diskc","TN"
"S04066-03","SXT","diskc","TN"
"S04173-01","AMP","diskc","TP"
"S04173-01","CHL","diskc","TP"
"S04173-01","GEN","diskc","TN"
"S04173-01","NAL","diskc","TN"
"S04173-01","SMX","diskc","TP"
"S04173-01","STR","diskc","FP"
"S04173-01","SXT","diskc","TN"
"S04246-97","AMP","diskc","TN"
"S04246-97","CHL","diskc","TN"
"S04246-97","GEN","diskc","TN"
"S04246-97","NAL","diskc","TN"
"S04246-97","SMX","diskc","TP"
"S04246-97","STR","diskc","TN"
"S04246-97","SXT","diskc","TP"
"S04294-03","AMP","diskc","TP"
"S04294-03","CHL","diskc","TP"
"S04294-03","GEN","diskc","TN"
"S04294-03","NAL","diskc","TN"
"S04294-03","SMX","diskc","TP"
"S04294-03","STR","diskc","FP"
"S04294-03","SXT","diskc","TN"
"S04322-99","AMP","diskc","TP"
"S04322-99","CHL","diskc","TP"
"S04322-99","GEN","diskc","TN"
"S04322-99","NAL","diskc","TN"
"S04322-99","SMX","diskc","TP"
"S04322-99","STR","diskc","FP"
"S04322-99","SXT","diskc","TN"
"S04488-04","AMP","diskc","TP"
"S04488-04","CHL","diskc","TP"
"S04488-04","GEN","diskc","FN"
"S04488-04","NAL","diskc","TN"
"S04488-04","SMX","diskc","TP"
"S04488-04","STR","diskc","TP"
"S04488-04","SXT","diskc","TN"
"S04635-04","AMP","diskc","FN"
"S04635-04","CHL","diskc","FN"
"S04635-04","GEN","diskc","TN"
"S04635-04","NAL","diskc","FN"
"S04635-04","SMX","diskc","FN"
"S04635-04","STR","diskc","TP"
"S04635-04","SXT","diskc","TN"
"S04655-09","AMP","diskc","FN"
"S04655-09","CHL","diskc","TP"
"S04655-09","GEN","diskc","TN"
"S04655-09","NAL","diskc","FN"
"S04655-09","SMX","diskc","TP"
"S04655-09","STR","diskc","TP"
"S04655-09","SXT","diskc","TP"
"S04790-97","AMP","diskc","TP"
"S04790-97","CHL","diskc","TP"
"S04790-97","GEN","diskc","TN"
"S04790-97","NAL","diskc","TN"
"S04790-97","SMX","diskc","TP"
"S04790-97","STR","diskc","TP"
"S04790-97","SXT","diskc","TN"
"S05231-09","AMP","diskc","TP"
"S05231-09","CHL","diskc","TP"
"S05231-09","GEN","diskc","TN"
"S05231-09","NAL","diskc","TP"
"S05231-09","SMX","diskc","TP"
"S05231-09","STR","diskc","FP"
"S05231-09","SXT","diskc","TN"
"S05247-14","AMP","diskc","TP"
"S05247-14","CHL","diskc","TN"
"S05247-14","GEN","diskc","TN"
"S05247-14","NAL","diskc","TN"
"S05247-14","SMX","diskc","TP"
"S05247-14","STR","diskc","TP"
"S05247-14","SXT","diskc","TN"
"S05290-09","AMP","diskc","TN"
"S05290-09","CHL","diskc","TN"
"S05290-09","GEN","diskc","TN"
"S05290-09","NAL","diskc","TN"
"S05290-09","SMX","diskc","TN"
"S05290-09","STR","diskc","TN"
"S05290-09","SXT","diskc","TN"
"S05339-97","AMP","diskc","TN"
"S05339-97","CHL","diskc","TN"
"S05339-97","GEN","diskc","TN"
"S05339-97","NAL","diskc","TN"
"S05339-97","SMX","diskc","TP"
"S05339-97","STR","diskc","FP"
"S05339-97","SXT","diskc","TN"
"S06001-08","AMP","diskc","TN"
"S06001-08","CHL","diskc","TN"
"S06001-08","GEN","diskc","TN"
"S06001-08","NAL","diskc","FN"
"S06001-08","SMX","diskc","TP"
"S06001-08","STR","diskc","TP"
"S06001-08","SXT","diskc","TN"
"S06036-03","AMP","diskc","FN"
"S06036-03","CHL","diskc","FN"
"S06036-03","GEN","diskc","TN"
"S06036-03","NAL","diskc","TP"
"S06036-03","SMX","diskc","TP"
"S06036-03","STR","diskc","FP"
"S06036-03","SXT","diskc","TP"
"S06216-03","AMP","diskc","TP"
"S06216-03","CHL","diskc","TP"
"S06216-03","GEN","diskc","TN"
"S06216-03","NAL","diskc","TN"
"S06216-03","SMX","diskc","TP"
"S06216-03","STR","diskc","TP"
"S06216-03","SXT","diskc","TP"
"S06290-02","AMP","diskc","TP"
"S06290-02","CHL","diskc","TP"
"S06290-02","GEN","diskc","TN"
"S06290-02","NAL","diskc","TP"
"S06290-02","SMX","diskc","TP"
"S06290-02","STR","diskc","TN"
"S06290-02","SXT","diskc","TP"
"S06569-05","AMP","diskc","TN"
"S06569-05","CHL","diskc","TN"
"S06569-05","GEN","diskc","TN"
"S06569-05","NAL","diskc","TN"
"S06569-05","SMX","diskc","TP"
"S06569-05","STR","diskc","TP"
"S06569-05","SXT","diskc","TN"
"S06618-99","AMP","diskc","TN"
"S06618-99","CHL","diskc","FN"
"S06618-99","GEN","diskc","TN"
"S06618-99","NAL","diskc","TP"
"S06618-99","SMX","diskc","TP"
"S06618-99","STR","diskc","FP"
"S06618-99","SXT","diskc","TN"
"S06636-12","AMP","diskc","TN"
"S06636-12","CHL","diskc","TN"
"S06636-12","GEN","diskc","TP"
"S06636-12","NAL","diskc","FN"
"S06636-12","SMX","diskc","TP"
"S06636-12","STR","diskc","TP"
"S06636-12","SXT","diskc","TN"
"S06719-94","AMP","diskc","TP"
"S06719-94","CHL","diskc","TP"
"S06719-94","GEN","diskc","TN"
"S06719-94","NAL","diskc","TN"
"S06719-94","SMX","diskc","TP"
"S06719-94","STR","diskc","FP"
"S06719-94","SXT","diskc","TN"
"S06756-00","AMP","diskc","TP"
"S06756-00","CHL","diskc","TN"
"S06756-00","GEN","diskc","TN"
"S06756-00","NAL","diskc","TP"
"S06756-00","SMX","diskc","TP"
"S06756-00","STR","diskc","TN"
"S06756-00","SXT","diskc","TP"
"S07053-03","AMP","diskc","TP"
"S07053-03","CHL","diskc","TP"
"S07053-03","GEN","diskc","TN"
"S07053-03","NAL","diskc","TP"
"S07053-03","SMX","diskc","TP"
"S07053-03","STR","diskc","FP"
"S07053-03","SXT","diskc","TN"
"S07102-03","AMP","diskc","TN"
"S07102-03","CHL","diskc","TN"
"S07102-03","GEN","diskc","TN"
"S07102-03","NAL","diskc","TN"
"S07102-03","SMX","diskc","TN"
"S07102-03","STR","diskc","TN"
"S07102-03","SXT","diskc","TN"
"S07406-99","AMP","diskc","TN"
"S07406-99","CHL","diskc","TN"
"S07406-99","GEN","diskc","TN"
"S07406-99","NAL","diskc","TN"
"S07406-99","SMX","diskc","TN"
"S07406-99","STR","diskc","TN"
"S07406-99","SXT","diskc","TN"
